epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,3630.35,0.26941,0.19859,0.82857,0.99949,1,0.995,0.9726,0.24845,0.15095,0.81491,0.0003665,0.0003665,0.0003665
167,3652.34,0.27956,0.20331,0.84017,0.99949,1,0.995,0.97857,0.24723,0.14856,0.81531,0.0003566,0.0003566,0.0003566
168,3674.29,0.27238,0.19598,0.82902,0.9995,1,0.995,0.97673,0.24609,0.1501,0.81491,0.0003467,0.0003467,0.0003467
169,3696.19,0.27928,0.20057,0.83527,0.9995,1,0.995,0.97288,0.23964,0.15175,0.81097,0.0003368,0.0003368,0.0003368
170,3718.1,0.28009,0.20279,0.83821,0.99949,1,0.995,0.98079,0.25198,0.1513,0.81467,0.0003269,0.0003269,0.0003269
171,3740.12,0.27886,0.20154,0.8372,0.9995,1,0.995,0.97546,0.24675,0.15012,0.81496,0.000317,0.000317,0.000317
172,3762,0.27454,0.19416,0.83395,1,1,0.995,0.97558,0.23793,0.14838,0.81366,0.0003071,0.0003071,0.0003071
173,3784.02,0.27796,0.19908,0.83785,0.9995,1,0.995,0.97112,0.23105,0.14317,0.81115,0.0002972,0.0002972,0.0002972
174,3806.04,0.26907,0.19462,0.82851,0.99951,1,0.995,0.97269,0.23287,0.14102,0.8094,0.0002873,0.0002873,0.0002873
175,3827.9,0.27472,0.19677,0.83915,0.99951,1,0.995,0.97395,0.24515,0.14345,0.81123,0.0002774,0.0002774,0.0002774
176,3849.26,0.26642,0.19333,0.83483,0.99952,1,0.995,0.97285,0.2337,0.14254,0.80925,0.0002675,0.0002675,0.0002675
177,3870.6,0.27436,0.19447,0.83188,0.99951,1,0.995,0.97931,0.23488,0.14265,0.80871,0.0002576,0.0002576,0.0002576
178,3892.16,0.27108,0.19705,0.83738,0.99949,1,0.995,0.97624,0.24362,0.1461,0.81067,0.0002477,0.0002477,0.0002477
179,3914.01,0.28002,0.20025,0.8398,0.99951,1,0.995,0.97353,0.24779,0.14442,0.81148,0.0002378,0.0002378,0.0002378
180,3935.89,0.26962,0.19217,0.83088,0.99951,1,0.995,0.97544,0.24181,0.14697,0.81229,0.0002279,0.0002279,0.0002279
181,3957.77,0.2712,0.1944,0.84281,0.99951,1,0.995,0.9785,0.23611,0.14051,0.8118,0.000218,0.000218,0.000218
182,3979.68,0.27733,0.19722,0.84169,0.99951,1,0.995,0.97711,0.23791,0.14459,0.81083,0.0002081,0.0002081,0.0002081
183,4001.64,0.269,0.19405,0.83245,0.9995,1,0.995,0.9709,0.24581,0.14688,0.81182,0.0001982,0.0001982,0.0001982
184,4023.45,0.27156,0.1978,0.83683,0.9995,1,0.995,0.97915,0.23915,0.1412,0.81229,0.0001883,0.0001883,0.0001883
185,4045.37,0.26905,0.19338,0.84119,0.99951,1,0.995,0.97738,0.23282,0.14014,0.8097,0.0001784,0.0001784,0.0001784
186,4067.22,0.26674,0.19104,0.83857,0.99952,1,0.995,0.97927,0.23555,0.14127,0.81009,0.0001685,0.0001685,0.0001685
187,4089.12,0.26004,0.18805,0.83488,0.99951,1,0.995,0.97513,0.23818,0.14167,0.81108,0.0001586,0.0001586,0.0001586
188,4111.04,0.26388,0.19102,0.83203,0.9995,1,0.995,0.97445,0.24052,0.13877,0.81253,0.0001487,0.0001487,0.0001487
